('2017-05-09 22:13:13', "$DIS sell off let's go!!! We need more lower. Worked for $AAPL $FB and $TSLA $AMZN green tomorrow 👌👌👌☝🏻☝🏻☝🏻")
('2017-05-09 22:13:12', '$AAPL #patent 9,645,998: Learning new words https://t.co/3qx0batfwQ #tech #IP https://t.co/bUcqdmI7fM')
('2017-05-09 22:13:04', 'Some say $AAPL run is from BOJ buying USD, forcing VIX down, and risk parity into large cap stocks @RiskReversal @timseymour @karenfinerman')
('2017-05-09 22:09:48', 'RT @StocksByPaige: $AAPL OPINION article covering potential acquisitions. \n\n#Apple #stocks #investing  https://t.co/L6KkDYk30S')
('2017-05-09 22:09:01', 'My unasked for thoughts on #EchoShow after perusing the product page. Disclaimer: I’m long on both $AMZN and $AAPL. Here goes...')
('2017-05-09 22:07:26', '$AAPL, $MSFT, and $DIS all beat earnings estimates. Solid quarter for my portfolio #DrinksOnMe')
('2017-05-09 22:04:55', 'RT @traderstewie: While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to show you…')
('2017-05-09 22:04:27', 'RT @traderstewie: While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to show you…')
('2017-05-09 22:04:18', 'RT @learnstocks101: $AAPL not a pretty candle at highs')
('2017-05-09 22:03:56', 'The Bible of Options Strategies by Guy Cohen: https://t.co/Xsh8uRZ2R9 #options #trading $SPY $VIX $AMZN $GOOGL $IBM $AAPL')
('2017-05-09 22:03:56', 'The Bible of Options Strategies by Guy Cohen: https://t.co/1bff36a9y4 #options #trading $SPY $VIX $AMZN $GOOGL $IBM $AAPL')
('2017-05-09 22:03:43', 'While everyone is talkin $AAPL, $AMZN and $GOOGL.\n\n$BABA is quietly ripping higher. \nPosting this chart only to sho… https://t.co/M3AMxXwgFL')
('2017-05-09 22:00:35', "$AAPL IPO in Dec 1980 was $22 per share. If you invested 1 share of $AAPL at $22 per share then today's value is $12,034.66.")
('2017-05-09 22:00:20', 'Options let you invest without taking huge risks...or missing out on some cool gains. https://t.co/LrVcI1l7AF $AAPL https://t.co/g7ciAfYaJx')
('2017-05-09 22:00:14', 'RT @SharePlanner: How To Be A Trader: 3 Strategies To Make You Profitable - SharePlanner $NVDA $AAPL $FB $AMZN #wallstreet #finance  https:…')
('2017-05-09 22:00:10', '$YELP like $LNKD = no $$$ growth. $NFLX $FB $AAPL $TSLA $GOOG $AMZN $SNAP $FB $TWTR Todays LiveChat DayTrades https://t.co/CqCTsJXScC')
