('2017-05-09 03:51:39'," ""RT @jpmorgan: In the $JPM Corporate Responsibility Report: Jamie Dimon's take on private enterprises supporting the public good. https://t.â€_"")",,,,,,,,,,,,
('2017-05-09 03:48:33', '#JPMorganChase #organChase : iPhone 8 to come with edge to edge display, TouchID and free Ai... Read more: https://t.co/PjsrYez1m4 $JPM'),,,,,,,,,,,
('2017-05-09 03:11:02', 'RT @LONGCONVEXITY: JP Morgan tells banks to partner up as U.S. deposit drain is coming https://t.co/8vvssroAQb via @markets $XLF #FED $JPM'),,,,,,,,,,,,
('2017-05-09 02:47:51'," ""RT @jpmorgan: $JPM's Kasman discusses his outlook for markets and U.S. economic growth"," via @CNBC. https://t.co/FS6DwZoE8N"")",,,,,,,,,,,
('2017-05-09 01:58:36'," ""Why Valeant's Brodalumab! $VRX $AGN $MYL $JNJ $BMY $BRK $IeP $BLUe $esb $FLXN $JPM $exeL $AAPL $KO $IBM $PeP $GILDâ€_ https://t.co/Q3sLbaLH5c"")",,,,,,,,,,,,
('2017-05-09 01:58:35'," ""Why Valeant's Brodalumab! $VRX $AGN $MYL $JNJ $BMY $BRK $IeP $BLUe $esb $FLXN $JPM $exeL $AAPL $KO $IBM $PeP $GILDâ€_ https://t.co/GI0C2EoWLa"")",,,,,,,,,,,,
('2017-05-09 01:56:33', 'RT @brianfires: Seems The People Are More Important Than The Message! $TWTR $AAPL $MSFT $CRM $KO $PeP $tst $MYL $VRX $BRK $IeP $tst $JNJ $Jâ€_'),,,,,,,,,,,,
('2017-05-09 01:47:59', 'RT @JustinPulitzer: Weekend Review VIDEO 5/7 $VIX $TLT $IBB $GILD $SLV $SPY $IWM $QQQ $AAPL $AMZN $FB $NFLX $GOOGL $TSLA $EXPE $JPM $IBM htâ€_'),,,,,,,,,,,,
('2017-05-09 01:42:09', 'Seems The People Are More Important Than The Message! $TWTR $AAPL $MSFT $CRM $KO $PeP $tst $MYL $VRX $BRK $IeP $tstâ€_ https://t.co/isWXnsUifj'),,,,,,,,,,,,
('2017-05-09 01:28:47'," ""RT @jpmorgan: Proud to be one of Universum's Most Attractive US Employers. See why business undergrads rated $JPM a top employer. https://tâ€_"")",,,,,,,,,,,,
