('2017-04-16 01:38:02', 'RT @420WeedStreet: $SPY BOMBS AWAY!! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY httâ€_'),,,,,,,,,,,,
('2017-04-16 01:36:57', '$SPY BOMBS AWAY!! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/d5dLbLyAdC'),,,,,,,,,,,,
('2017-04-16 01:05:01'," ""RT @StockTwits: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: https://t.co/zfR26OJNjL\n\n$JPM  $WFC $NKâ€_"")",,,,,,,,,,,,
('2017-04-16 01:00:20', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/KgEbSAUBmTâ€_ https://t.co/0viBAGMa92'),,,,,,,,,,,,
('2017-04-16 01:00:16', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/NKQnbtsIKQâ€_ https://t.co/KROj6EWM66'),,,,,,,,,,,,
('2017-04-16 01:00:16', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/jGHD5O6CMzâ€_ https://t.co/QLV1Zji84K'),,,,,,,,,,,,
('2017-04-16 01:00:16', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/9hxChENaEIâ€_ https://t.co/Rd33BuhQSt'),,,,,,,,,,,,
('2017-04-16 01:00:16', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/bdpzlI6Mhhâ€_ https://t.co/Li5OvuJcM9'),,,,,,,,,,,,
('2017-04-16 00:47:59', 'RT @charliebilello: Bank stocks end the week at 4-month lows. Post-election euphoria wearing off. $JPM $C $BAC $MS $GS $WFC https://t.co/SHâ€_'),,,,,,,,,,,,
('2017-04-16 00:45:30', 'RT @420WeedStreet: $SPY No further comments. Now ACTIONS? $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIâ€_'),,,,,,,,,,,,
('2017-04-16 00:25:58', 'RT @Foghornreturns: $JPM $FNMA $FMCC JPMorgan wants to be Middle Americaâ€™s mortgage lender https://t.co/NiBcLAtAJ2'),,,,,,,,,,,,
('2017-04-16 00:24:02', 'RT @ThePitBoss16: JPMorgan $JPM Beat on #Earnings and Revenue @Lizardjb3 @HeidsterTrades @TradersCom $DJIA $ES_F $SPX https://t.co/88v9BCtDâ€_'),,,,,,,,,,,,
('2017-04-15 23:56:58', 'RT @420WeedStreet: $SPY Attempt made by NK, @POTUS turn! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIAâ€_'),,,,,,,,,,,
('2017-04-15 23:54:46', '$SPY Attempt made by NK, @POTUS turn! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJIâ€_ https://t.co/GDTWwo1KFy'),,,,,,,,,,,
('2017-04-15 23:48:52', 'RT @LiuOfWallStreet: $TSLA $SINA $JPM $WFC $GOOG $F $MDXG $CMG $WLL $DVN $CUDA $X $TMUS $AMZN $HNR $C $AGU $NE $AAPL Free LIVE daytrades htâ€_'),,,,,,,,,,,,
('2017-04-15 23:48:11', 'Bears Are Dominating The Market. More Pain Ahead? $DAL $FAST $PIR $INFY $APOG $C $JPM $TSM $WFCâ€_â€_ https://t.co/G0hYD2fNdb'),,,,,,,,,,,,
('2017-04-15 23:45:25', 'RT @AlertTrade: Can You Invest With A Conscience? $BA $CVX $CXW $GD $GEO $HD $JPM $KO $LMT $LOW $MA $MCD $MOâ€_ https://t.co/5yakK5YSML #Inveâ€_'),,,,,,,,,,,,
('2017-04-15 23:45:11', 'Bears Are Dominating The Market. More Pain Ahead? https://t.co/34uMD2VXSR $DAL $FAST $PIR $INFY $APOG $C $JPM $TSM $WFC $SPY $QQQ $DIA $SH'),,,,,,,,,,,,
('2017-04-15 23:45:04', 'Bears Are Dominating The Market. More Pain Ahead? https://t.co/0sZyDng6CC $DAL $FAST $PIR $INFY $APOG $C $JPM $TSM $WFC $SPY $QQQ $DIA $SH'),,,,,,,,,,,,
('2017-04-15 23:45:03', 'Bears Are Dominating The Market. More Pain Ahead? https://t.co/CwtU7lPkPy $DAL $FAST $PIR $INFY $APOG $C $JPM $TSM $WFC $SPY $QQQ $DIA $SH'),,,,,,,,,,,,
('2017-04-15 23:44:53', '$TSLA $SINA $JPM $WFC $GOOG $F $MDXG $CMG $WLL $DVN $CUDA $X $TMUS $AMZN $HNR $C $AGU $NE $AAPL Free LIVE daytrades https://t.co/u1zkI5xxK6'),,,,,,,,,,,,
('2017-04-15 23:32:42'," 'RT @420WeedStreet: $SPY @POTUS ""North Korea is a problem &amp; Will B dealt w/"" $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $C $JPM $NFLX $SNAP $FB $DJIâ€_')",,,,,,,,,,,,
('2017-04-15 23:32:37', 'RT @Foghornreturns: $JPM $FNMA $FMCC JPMorgan wants to be Middle Americaâ€™s mortgage lender https://t.co/NiBcLAtAJ2'),,,,,,,,,,,,
('2017-04-15 23:27:44'," '$SPY @POTUS ""North Korea is a problem &amp; Will B dealt w/"" $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $C $JPM $NFLX $SNAP $FBâ€_ https://t.co/N9PxeoVjUE')",,,,,,,,,,,,
('2017-04-15 23:13:03', '$JPM $WFC $C:\n\nShale Producers: Banks Ready To Boost Lending â€“ The Rich Will â€_:\n\nhttps://t.co/9iOVmuI0iY'),,,,,,,,,,,,
('2017-04-15 23:08:29', 'RT @420WeedStreet: $SPY @POTUS Time 4 #MOAB BOMBS AWAY? $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIAâ€_'),,,,,,,,,,,,
('2017-04-15 23:06:52'," ""RT @420WeedStreet: $SPY Hmmm What's on the agenda?$SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $â€_"")",,,,,,,,,,,,
('2017-04-15 23:06:32', '$SPY @POTUS Time 4 #MOAB BOMBS AWAY? $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJIâ€_ https://t.co/KPpcKrAopt'),,,,,,,,,,,,
('2017-04-15 23:01:29', 'RT @Foghornreturns: $JPM $FNMA $FMCC JPMorgan wants to be Middle Americaâ€™s mortgage lender https://t.co/NiBcLAtAJ2'),,,,,,,,,,,,
('2017-04-15 22:56:22', 'RT @420WeedStreet: $SPY #BREAKING $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY @POTUSâ€_'),,,,,,,,,,,,
