('2017-05-01 12:55:18', 'Extracted today, randomly as always: $JPM+ $BCTF $AMH-E $BHK $OEC $SIRI $KTH $PCG-A $ZAYO $JJSF. More details at https://t.co/FOOriXawTk')
('2017-05-01 12:47:21', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/ue2CGO1bke')
('2017-05-01 12:46:47', "I've got Contemporary Overvalue Correcting Skills Too! $ibm $agn $tst $fb $msft $goog $googl $crm $spy $brk $iep $amzn $jpm $wfc $bac $ko")
('2017-05-01 12:43:12', 'RT @scutify: 5 Questions Apple Inc. (AAPL) Earnings Should Answer https://t.co/m1pyG63CYk $AAPL $JPM $UBS $DIS $QCOM #earnings #tech #iPhon…')
('2017-05-01 12:41:23', 'I Have Contemporary &amp; Value Adding Skills Yet Long Term Unemployed. Hhhmmm.. $ibm $brk $iep $twtr $ko $jpm $vex $agn $aapl $msft $jnj $myl')
('2017-05-01 12:40:35', "#Breaking Former Fed Chairman Ben Bernanke '3% Growth possible' #stocks #WallStreet $GS $JPM $MS $C $BAC $WFC $BX $BLK $AIG #MayDay2017 #NYC")
('2017-05-01 12:39:03', 'Maybe $AB decides to accept the trend toward passive as $jpm did rather than just fighting it. AB has some good act… https://t.co/fOsDEr7DEy')
('2017-05-01 12:38:18', '#MayDay2017 march targeting #BackersofHate, companies who will benefit from Trump racist policies\n$JPM $WFC $GC $BA… https://t.co/70p8pWHM8K')
('2017-05-01 12:37:13', 'RT @SirNyamranga: @bobbowman14 @MarketWatch Americans are addicted to debt. Long $JPM.')
('2017-05-01 12:36:21', '$SNE #SONY  ready for #analysts #upgrades https://t.co/tEL5sybCh6 $BNS $JPM $MS $GS $PIEJF $WFC $RBC $C $RJF $EVR… https://t.co/6o46awPfzl')
('2017-05-01 12:12:13', 'JPMorgan Chase &amp; Co. $JPM Stock Rating Upgraded by Vining Sparks https://t.co/6yijbebiMo')
('2017-05-01 12:12:12', 'JPMorgan Chase &amp; Co. $JPM Stock Rating Upgraded by Vining Sparks https://t.co/kszJXH1VYG')
('2017-05-01 12:02:42', '#JPMorganChase Selection head leaves JP Morgan Private Bank. Read more: https://t.co/c9fsKHMZIU $JPM')
('2017-05-01 12:02:13', 'Vetr Inc. Upgrades JPMorgan Chase &amp; Co. $JPM to Strong-Buy https://t.co/k1tLjhnGIf')
