('2017-04-18 13:07:42', '$SPY Elevator Down?! $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX‰Û_ https://t.co/iPdPIkRDbi'),,,,,,,,,,
('2017-04-18 13:04:06', 'Bank of America Is a Screaming Buy After Earnings $BAC $JPM $WFC - https://t.co/Ig64QQitA0'),,,,,,,,,,
('2017-04-18 13:03:55', 'Best Practices for Equity Research Analysts : Essentials for Buy-Side and Sell-Side Analysts: https://t.co/9lNZvBQQL9 $GS $MS $JPM $C'),,,,,,,,,,
('2017-04-18 13:03:29'," ""6 Reasons Rising Rates Not Helping Most Banks' Profits So Far This Quarter https://t.co/wDpWcmEhZx $C $CBSH $FHN $FRC $JPM $PNC $WFC"")",,,,,,,,,,
('2017-04-18 13:01:13', 'Bank of America Is a Screaming Buy After Earnings $BAC $JPM $WFC - https://t.co/upwNcypepH'),,,,,,,,,,
('2017-04-18 12:58:27'," ""6 Reasons Rising Rates Not Helping Most Banks' Profits So Far This Quarter https://t.co/xOSH78fXei $C $CBSH $FHN $FRC $JPM $PNC $WFC"")",,,,,,,,,,
('2017-04-18 12:57:44', '$BAC $JPM $GS $MS  chart https://t.co/b2LaMN4hrx'),,,,,,,,,,
('2017-04-18 12:46:25', '$BAC #BAC #MOYNIHAN #SmallBusiness #lending UNIT HAD BEST #Production EVER #JPM $JPM @MariaBartiromo @dagenmcdowell‰Û_ https://t.co/5lvKiVCYXd'),,,,,,,,,,
('2017-04-18 12:40:26', 'Wow. $JPM and $BAC trading revenues looking good, $GS not so much. Surprising.'),,,,,,,,,
('2017-04-18 12:37:21', '$GS chart https://t.co/lzA7X3X2az Remember when Every1 was SUPER BULLISH around there...about that...opening at some support $BAC $XLF $JPM'),,,,,,,,,,
('2017-04-18 12:32:22', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/jHCsagOgYH https://t.co/qFFwwuUJVj v‰Û_'),,,,,,,,,,
('2017-04-18 12:31:13', 'MUST READ: Stock up on $1.4 billion contract announced: https://t.co/F49kF8WydZ $JPM $DUK $HLF $BBEPQ $TVIX $ULTA $LO $AXAS $ECL $DOV'),,,,,,,,,,
('2017-04-18 12:30:34', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/I04NrOby8n‰Û_ https://t.co/lNAsmfmEbA'),,,,,,,,,,
('2017-04-18 12:30:31', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/CwuNUh58E8‰Û_ https://t.co/QKkp5RSczc'),,,,,,,,,,
('2017-04-18 12:30:31', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/3n5ENwi5Qw‰Û_ https://t.co/KHNCDe4Qkh'),,,,,,,,,,
('2017-04-18 12:30:30', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/tPNcJLlfHw‰Û_ https://t.co/YWnuUvCS6R'),,,,,,,,,,
('2017-04-18 12:30:30', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/VRAMJgH8el‰Û_ https://t.co/tczSvgM6sX'),,,,,,,,,,
('2017-04-18 12:30:30', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/zZxWtEnW6X‰Û_ https://t.co/pIJrEAEpuH'),,,,,,,,,,
('2017-04-18 12:29:59'," ""$JPM Goldman Sachs' profits miss forecasts as trading struggled https://t.co/lzTyPRy728"")",,,,,,,,,,
('2017-04-18 12:27:02', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/iZocTBhQmA'),,,,,,,,,,
('2017-04-18 12:24:44', 'Stock picker market ‰ã¢_Ù÷Â$GS $BAC $JPM https://t.co/cSkgfpEuvS'),,,,,,,,,,
('2017-04-18 12:24:27', 'JPMorgan Chase &amp; Co. $JPM Lifted to ‰ÛÏStrong-Buy‰Ûù at Vetr Inc. https://t.co/eKUpLcfZfh'),,,,,,,,,,
('2017-04-18 12:22:11', 'RT @TSTbanking: $JPM, $BAC and $C all saw double-digit gains in fixed-income trading; $GS, just 1%. Check https://t.co/msW0oLYgyR for updat‰Û_'),,,,,,,,
('2017-04-18 12:22:04'," ""@panamaorange It was a marginal miss. Don't get your hopes up that the squid has any 'systemic problems. Bullish $BAC $JPM $XLF"")",,,,,,,,,,
('2017-04-18 12:21:35', 'JPMorgan Chase &amp; Co. $JPM Lifted to ‰ÛÏStrong-Buy‰Ûù at Vetr Inc. https://t.co/Jr8iRa8xpF'),,,,,,,,,,
('2017-04-18 12:19:48', '$JPM, $BAC and $C all saw double-digit gains in fixed-income trading; $GS, just 1%. Check https://t.co/msW0oLYgyR f‰Û_ https://t.co/oFhfo2CeaI'),,,,,,,,
('2017-04-18 12:08:37', 'RT @TradersCom: What to Expect From Bank of America $BAC #Earnings Tuesday $SPX $GS $JPM $C $WFC $MS $DJIA $ES_F https://t.co/nqgxZImG6G'),,,,,,,,,,
('2017-04-18 12:07:17', 'RT @mytradingbuddy: NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/7puarVoKbx #Tradi‰Û_'),,,,,,,,,,
('2017-04-18 11:57:20', '+2% day but still below 90 $BKX \n$XLF $GS $BAC $JPM $C $XLF $TNX https://t.co/lH1noAdPPg'),,,,,,,,,,
('2017-04-18 11:55:10', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/7puarVoKbx‰Û_ https://t.co/IwInnj21t1'),,,,,,,,,,
('2017-04-18 11:54:10', 'Goldman $GS laid an egg. JP Morgan $JPM remains top financial, deservedly so.'),,,,,,,,,
('2017-04-18 11:49:09', 'Just because $GS sucks like usual should mean $BAC $JPM $C who had GREAT earnings should suffer too??? NO NO NO'),,,,,,,,,,
('2017-04-18 11:44:21', '@NotaBubble @yusschr @7wtc Like Netflix, Goldman also missed this QTR. But Goldman is down as expected in the pre-m‰Û_ https://t.co/j8GBk375DS'),,,,,,,,,
('2017-04-18 11:42:22'," ""FICC trading essentially flat"," vs $JPM's 17% ..\n\n(h/t @WilfredFrost) https://t.co/hcpXXlq8iG"")",,,,,,,,,
('2017-04-18 11:41:54', '@MorningsMaria  Just because $GS sucks like usual should mean $BAC $JPM $C who had GREAT earnings should suffer too!! NO NO NO'),,,,,,,,,,
('2017-04-18 11:41:32', '@SquawkCNBC @petenajarian Just because $GS sucks like usual should mean $BAC $JPM $C who had GREAT earnings should suffer too!! NO NO NO'),,,,,,,,,,
('2017-04-18 11:41:28', 'JPMorgan Chase &amp; Co. $JPM ‰ÛÒ Investment Analysts‰Ûª Weekly Ratings Changes https://t.co/Y4xYLELMyz'),,,,,,,,,,
('2017-04-18 11:39:34', 'JPMorgan Chase &amp; Co. $JPM ‰ÛÒ Investment Analysts‰Ûª Weekly Ratings Changes https://t.co/LfsJBwinne #acn'),,,,,,,,,,
('2017-04-18 11:29:47', '$JPM Bank of America Earnings Top On Broad Strength; Dow&amp;apos;s Goldman Sachs Due https://t.co/iD9U6Zp6xA'),,,,,,,,,,
('2017-04-18 11:28:04', '$C $BAC $WFC $JPM $MS:\n\nBank of America Earnings Top On Broad Strength; Dow‰Ûªs Goldman Sachs Due:\n\nhttps://t.co/Pu4qI3brrp'),,,,,,,,,,
('2017-04-18 11:25:07', 'Watch List: Tuesday, April 18 #TaxDay $UVXY $VIX $SPX $SPY $BAC $GS $JPM $BABA $FB $AAPL $X $NFLX $ES_F $QQQ $IWM https://t.co/o9SllmFJYt'),,,,,,,,,
('2017-04-18 11:18:38', 'JPMorgan Chase &amp; Co. $JPM Lifted to ‰ÛÏStrong-Buy‰Ûù at Vetr Inc. https://t.co/9aWcxKUOtj'),,,,,,,,,,
('2017-04-18 11:18:09', 'RT @TalkMarkets: Bank Stock Roundup: JPM, WFC, C, PNC Kickstart Q1 Earnings w Optimism $C $JPM $PNC $WFC Also $BAC $BBT $BK $CMA ... https:‰Û_'),,,,,,,
('2017-04-18 11:15:23', 'Bank Stock Roundup: JPM, WFC, C, PNC Kickstart Q1 Earnings w Optimism $C $JPM $PNC $WFC Also $BAC $BBT $BK $CMA ... https://t.co/DBAQLTQouC'),,,,,,,
('2017-04-18 10:16:39', '$JPM New SEC Document(s) for JPMorgan Chase &amp; Co.\nFrom our Stock News Alerts App'),,,,,,,,,,
('2017-04-18 10:12:41', 'Grow your wealth with @ProfectuSystems trading models. $AAPL $AMZN $NFLX $GOOGL $TSLA $MSFT $VIX $SPY $VXX $UVXY $IBM $WFC $JPM $C $GS'),,,,,,,,,,
('2017-04-18 10:07:18', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(8) (424b8) https://t.co/ytzKDqWuER'),,,,,,,,,,
('2017-04-18 10:07:18', '$JPM - Free Writing Prospectus - Filing Under Securities Act Rules 163/433 (fwp) https://t.co/8MhYHGM19r'),,,,,,,,,,
('2017-04-18 10:04:23', 'Glacier Peak Capital LLC Invests $129,000 in JPMorgan Chase &amp; Co. $JPM https://t.co/vcBK0Yp6VC'),,,,,,,,,
('2017-04-18 10:04:10', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/O0gHzgdBkG'),,,,,,,,,,
('2017-04-18 10:04:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/P7ithtleb7'),,,,,,,,,,
('2017-04-18 10:04:09', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/3idl3fGg53'),,,,,,,,,,
('2017-04-18 10:04:08', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/w1HWsNUZyB'),,,,,,,,,,
('2017-04-18 10:04:08', '$JPM - Prospectus Filed Pursuant to Rule 424(b)(2) (424b2) https://t.co/ncx83JxQ86'),,,,,,,,,,
