('2017-04-17 08:03:19', '$JPM https://t.co/dZWRGe19sM Pot. intermed top in Uptrend LONGERTERM Wly-Dly-Hly combo chart #trading #stocks https://t.co/gJPzIix8Q3'),,,,,
('2017-04-17 07:11:32', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/mäó_'),,,,,
('2017-04-17 06:50:23', 'RT @nowinv1: https://t.co/QWJhyuitpb SP500 TOP 50 today  #dowjones #invest #stockmarket #forecast #stocks #trader $SPY #sp500 $AAPL $MSFT $äó_'),,,,,
('2017-04-17 06:26:28', 'RT @PortfolioBuzz: Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/mäó_'),,,,,
('2017-04-17 06:23:35', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/m0Yt66BvFr'),,,,,
('2017-04-17 05:48:46'," ""RT @StockTwits: 29 companies have already reported Q1 2017 earnings. Here's a list to catch you up: https://t.co/zfR26OJNjL\n\n$JPM  $WFC $NKäó_"")",,,,,
('2017-04-17 05:40:12', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.äó_'),,,,,
('2017-04-17 05:38:56', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.äó_'),,,,,
('2017-04-17 05:35:04', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.äó_'),,,,,
('2017-04-17 05:15:18'," ""Worry About Losing Money"," Nightmares Don't Matter: Jim Cramer's View $JPM https://t.co/rqHyWvIhSL https://t.co/fzNBK67KIw"")",,,,
('2017-04-17 05:05:57', 'JPMorgan Chase &amp; Co. $JPM Position Reduced by Rafferty Asset Management LLC https://t.co/MPvMPKiNG6'),,,,,
