('2017-04-19 11:41:32', 'JPMorgan accused of fraud over tech company sale $JPM https://t.co/2mOJpQFVK8 by @sindap'),,,,,,,,,,,
('2017-04-19 11:39:54', '$JPM $MS good $GS bad _Ù_Ó https://t.co/5OrlrtzqJf'),,,,,,,,,,,
('2017-04-19 11:29:01', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/GmlFtJ9uLi'),,,,,,,,,,,
('2017-04-19 11:15:01', 'Which Is REALLY The Better Bank Dividend Stock: \nWells Fargo or JP Morgan Chase?\nhttps://t.co/vLjz2EjXrK\n$JPM $WFC'),,,,,,,,,,,
('2017-04-19 11:10:58', 'RT @420WeedStreet: $SPY AWESOME! @RedDogT3  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $U‰Û_'),,,,,,,,,,,
('2017-04-19 11:10:28', 'RT @ProVesting: $MS $C $JPM $BAC $GS:\n\nHere‰Ûªs what to expect from Morgan Stanley earnings:\n\nhttps://t.co/NjQqHdnCZg'),,,,,,,,,,,
('2017-04-19 11:08:17', '#JPMorganChase JP Morgan and Fidelity count on brand in battle for ETF assets. Read more: https://t.co/gEkJzQXCp1 $JPM'),,,,,,,,,,,
('2017-04-19 11:05:04', '$JPM JPMorgan to Sell $6.9 Bn Student Loan Asset to Navient https://t.co/tqAtDnf2VV'),,,,,,,,,,,
('2017-04-19 10:58:03', '$MS $C $JPM $BAC $GS:\n\nHere‰Ûªs what to expect from Morgan Stanley earnings:\n\nhttps://t.co/NjQqHdnCZg'),,,,,,,,,,,
('2017-04-19 10:41:02', 'RT @TN: speaking of Prof. Sornette\'s models," here is a recent signal from ""bubble end flag - ST model"" for $JPM https://t.co/TDUeXdSMmI')",,,,,,,,,,
('2017-04-19 10:21:58', 'All in... $TSY 10yr rout, now $GS disappointing and $BKX is holding in \n\n$XLF $BAC $JPM $C $XLF $TNX https://t.co/d7CbGOSZxo'),,,,,,,,,,
