('2017-04-25 14:37:41', '$SPY its like $GS and $NFLX never missed already')
('2017-04-25 14:37:39', '$SPY Pierre Lawson on Winning the #Options Game and #Trading for Consistent Income https://t.co/PJFxG8CJMh #stocks $NFLX #investing $FB $QQQ')
('2017-04-25 14:37:02', 'I just shorted $NFLX today.  New position for me.  Seems like people are ignoring China strict movie import law.')
('2017-04-25 14:36:38', 'big news for sure.. cannot disagree this time... indeed 2 years in the making.     480 million NEW consumers in thi‰Û_ https://t.co/t0sH0VPgFh')
('2017-04-25 14:36:28', '$NFLX $148.63 +3.35% por el upgrade de #JPM')
('2017-04-25 14:35:36', '$NFLX Entered some $152.50 weeklies on the news this am.. China market for this company would be very lucrative. #MOAR')
('2017-04-25 14:35:00', '$jpm upgraded $nflx to $178 for a reason')
('2017-04-25 14:34:35', '$NFLX up on China news is hilarious!  China only allows 34 movie imports per year!  Netflix like Facebook &amp; $GOOG will never make $ there!')
('2017-04-25 14:33:16', '$NFLX new highs here...')
('2017-04-25 14:33:09', '$NFLX Check out my recent Netflix #Blog Netflix with a fresh high #ATH $148.57 https://t.co/xDMahH7NLy https://t.co/fUsQtOKBOv')
