('2017-04-26 21:01:32', 'Pinnacle Associates Ltd. Has $53.349 Million Stake in Apple Inc. $AAPL https://t.co/y7EygUVUij')
('2017-04-26 21:01:14', 'WP Advisors LLC Purchases Shares of 64478 Apple Inc. $AAPL https://t.co/S7LMvjO3dX')
('2017-04-26 21:01:13', 'WP Advisors LLC Purchases Shares of 64478 Apple Inc. $AAPL https://t.co/NdEnNxbuXv')
('2017-04-26 21:01:08', '@JakeCatskill $aapl EVERYTHING WAS')
('2017-04-26 21:00:20'," '$AAPL ""Here you go: Proof of 8 patents OWCP has"" on ADFN InvestorsHub message boards: https://t.co/v1RS7nBe7h')"
('2017-04-26 20:56:19', 'See why these assets are trending in 1 watchlist #financialplanning $AAPL $Blockchain $FCA https://t.co/ggqqOP5n3t https://t.co/wthIGfab6b')
('2017-04-26 20:55:48'," ""RT @appleinsider: Editorial: A very false narrative: Samsung Galaxy S8 vs Apple's iPhone @danieleran $AAPL https://t.co/ijghJTNMmw https://â€_"")"
('2017-04-26 20:54:32'," ""Today's free recap and look ahead $spx $spx $iwm $aapl $amzn $insy $auph $xle $uwt  https://t.co/MbQ9E76gsH"")"
('2017-04-26 20:54:21'," ""Join @RobinhoodApp and we'll both get a share of stock like $AAPL $F or $S for free. Make sure to use my link.\n\nhttps://t.co/mkOeru8u2b"")"
('2017-04-26 20:52:59'," ""RT @StockTwits: Everyone is passing around this picture. It apparently shows Trump's big tax cut plan: https://t.co/w0SgGq6UgR\n\n$DJIA $MSFTâ€_"")"
('2017-04-26 20:51:23', 'RT @realwillmeade: $AAPL will hit $200 by next year on lower repatriation tax')
('2017-04-26 20:51:20', 'Trumpâ€™s tax plan could get companies like $AAPL and $GOOG to actually pay taxes. Hereâ€™s what it means for you: https://t.co/oPLWaJrbq3')
('2017-04-26 20:50:25', 'RT @tomhfit: Better Buy: Fitbit Inc. vs. Apple @themotleyfool #stocks $AAPL $FOSL $FIT https://t.co/FQG90k7DrS')
('2017-04-26 20:50:25', 'RT @zerofiltertruth: Another add to our very-outsized $TWTR position here \n\n$AAPL $AMZN $GOOG $MSFT $VZ $IBM $DIS')
('2017-04-26 20:50:25'," 'RT @seeitmarket: NEW Blog:  ""Apple Stock Chart Update: Price Nearing $152 Target"" - https://t.co/o9nN8zVGk7  by @TheFibDoctor\n$AAPL')"
('2017-04-26 20:50:25', 'RT @dellakwal: $AAPL $FIT https://t.co/yOsMHE12BU')
('2017-04-26 20:47:20', 'WOW!!! $FB $AMZN $MSFT $AAPL $GOOG represents &gt;10% of total US market capitalization https://t.co/6B9dJkmmhI')
('2017-04-26 20:46:08', 'Rogue Amoeba Releases Airfoil Satellite TV for the Apple TV https://t.co/JhlnJU8IHO #MacStories $AAPL https://t.co/BycE6iadNo')
('2017-04-26 20:46:04', 'Apple reports earnings May 2. What to watch:\n- EPS: $2.02\n- Rev.: $53B\n- iPhones: 52M\n- Services rev.: $7.1B\nhttps://t.co/cG5o7CbACU $AAPL')
('2017-04-26 20:45:30', '$AAPL #Options OI chart. Free stocks app https://t.co/nuRDoiNnnh https://t.co/t4VqWMukCd')
('2017-04-26 20:43:04', '$AAPL will hit $200 by next year on lower repatriation tax')
